CPP-PI_DIGITS
tempo,memoryOthers,memoryHeapJava,memoryNative,memoryCode,memoryStack,current,voltage
524217,9654272,7749632,15262784,19013632,536576,892500.0,4368.0
524335,9654272,7749632,15371072,19013632,536576,892500.0,4368.0
524467,9654272,7753728,15371072,19013632,536576,897500.0,4368.0
524601,9654272,7753728,15436624,19013632,536576,897500.0,4368.0
fim
